Season,Team,Pos,Inn,rSZ,rCERA,rSB,rGDP,rARM,rGFP,rPM,rTS,DRS,ARM,DPR,RngR,ErrR,UZR,UZR/150,FRM,OAA,Range,Def
2012,"Braves","---",13008,21.633538079448044,2,3,-1,2,11,48,0,85,8.71030624769628,2.4872101843357086,27.48595420923084,5.709416340207099,44.39292148128152,8.171906040652884,37.62000024691224,,,85.01292353254203
2011,"Diamondbacks","---",12990,11.738987005548552,2,5,1,-6,5,37,0,57,-4.0374347465112805,-0.8344659730792046,58.62096584774554,6.8808880008054985,60.62998176179826,7.179359984579814,18.43499966338277,,,84.05993048387597
2014,"Red Sox","---",13191,8.896997140720487,-3,2,-8,10,5,35,8,51,9.457636554725468,-4.031567576806992,29.18297599966172,11.809189091291046,46.4182595689781,7.248327376572897,14.024999833665788,,,62.448250691291406
2010,"Giants","---",13149,6.998822022229433,3,4,1,7,0,0,0,23,7.205244023352861,-1.435362683609128,36.405046842992306,14.32778939421405,56.50273405574262,9.4436947232981,0.9949999554082751,,,61.48274140668382
2022,"Yankees","---",13065,19.59269003412919,1,5,-2,7,8,62,25,129,15.054457960650325,-2.4987559765577316,11.224367594346404,6.945896787463425,30.725967463105917,6.997676206540181,24.45999974478036,23,18,59.24202275732674
2013,"Brewers","---",12984,26.32587588671595,-3,-1,-1,12,7,-6,19,44,10.841652647592127,1.5058168412651867,18.868522418662906,-16.558580478362273,14.657347433501855,4.260774435790522,44.044998900033534,,,57.707374019477484
2010,"Diamondbacks","---",12888,9.568972010951256,-2,-4,3,2,-4,15,-2,15,-0.5997502133250237,3.5329882092773914,52.06343921273947,-1.2616900388384238,53.734993901103735,7.1587209405301575,7.744999710470438,,,57.48493963756044
2011,"Yankees","---",13125,24.091831046709558,1,0,0,6,6,-9,-1,19,7.325737044215202,1.1765579655766487,16.85629222774878,-1.5196985264192335,23.83884844649583,4.586073207975457,33.444999678991735,,,57.28879670862971
2017,"Twins","---",12924,2.4945848773932084,6,1,-6,2,-5,29,-2,24,-0.28148735500872135,-7.741785056889057,11.036623573978432,12.04623795239604,15.059625152498484,0.9599560440565575,6.354999992996454,64,53,57.119187704921615
2019,"Indians","---",12939,19.69748194888234,7,1,2,8,11,-1,19,66,13.48352600634098,-0.45096070785075426,8.070058238779893,11.840963444661611,32.94358159956846,7.01351064264435,12.979999951086938,33,25,56.778218278880416
2010,"Padres","---",13107,-6.734533182345331,1,0,-3,-5,8,63,1,70,-4.1276017986238,-1.218382179737091,36.37376498058438,14.411744174780324,45.439554400742054,5.132703424846951,11.139999830164015,,,56.56959243290701
2010,"Reds","---",13077,5.1182310888543725,-4,0,0,-1,13,21,2,43,-2.5794938821345568,2.0136479698121548,19.05357926990837,19.366741973441094,37.85442962963134,4.651845112428809,16.300000071525574,,,54.15446830950137
2013,"Royals","---",13035,-9.116598994238302,3,2,5,15,15,30,-2,67,17.74510930478573,4.40834872610867,33.4118791478686,4.755017465809942,60.32036565896124,11.62455168161487,-9.040000098757446,,,53.28036733862818
2023,"Brewers","---",12987,15.933779050334124,-1,-3,2,-4,2,54,8,68,7.822767875622958,4.950358420610428,22.2302299219009,4.243940442951498,39.24729498353554,7.735827079119712,20.685000243596733,41,34,52.53861079217014
2016,"Cubs","---",13137,19.232747088186443,0,2,-1,-4,-5,88,22,107,1.0381695851683617,-0.9939420453738421,42.784588206675835,4.268469814909622,47.09726683842018,6.389976075735742,15.214999992400408,39,31,50.78251636746276
2011,"Angels","---",13185,9.974754102062434,1,-1,6,7,13,-2,1,29,3.7916792072355747,6.682773098349571,23.595268956152722,7.7611239136895165,41.830901170382276,6.610595549765698,9.939999948255718,,,50.770934149576725
2011,"Brewers","---",12975,28.53768891096115,0,-6,6,-8,1,18,0,32,-8.724233271554112,2.0681947115808725,36.03196075782762,-11.276521284496994,18.099402448271576,1.120452315202499,38.544999320060015,,,50.63939806171575
2018,"Diamondbacks","---",13167,26.59618798783049,-1,0,4,-9,17,63,25,123,-15.818267309572548,-2.1123467795550823,23.538866013288498,7.1110202125273645,12.719255221541971,-1.6268687632909415,27.605000137351453,28,22,50.600279541045715
2018,"Astros","---",13095,11.895010897889733,2,1,3,4,10,27,3,61,2.8356549069285393,1.4753618240356445,-17.742786934657488,0.9488864910090342,-12.482852316927165,-1.272505440184891,14.54999977722764,40,33,50.175163735235614
2011,"Reds","---",13209,7.06577005982399,1,-2,-4,1,-5,52,1,61,3.0333537100814283,-3.892888141795993,28.979863875159936,10.401069933847793,38.5213886506026,5.197415227854019,10.859999815002084,,,47.37134485248784
2014,"Orioles","---",13152,0.7961970428004861,2,0,11,9,12,21,8,58,14.155707200989127,6.621060201898217,20.68002998828888,-0.15167878655483946,41.30516178905964,8.604785534436369,6.005000291392207,,,47.315179953848954
2017,"Indians","---",12966,8.528028050553985,-1,4,4,7,16,-12,18,52,3.6375386373256333,3.580202091485262,-10.556259295583004,8.246366978091828,4.907849912153324,1.7548066780104414,13.075000188313425,31,23,46.85202442391505
2018,"Brewers","---",13149,5.708977982867509,1,2,1,0,5,85,18,121,-0.896109173540026,3.600133622530848,36.884845638647676,-14.648757603776176,24.940124470740557,3.9801347282502593,7.11000008136034,35,30,46.18710459570494
2021,"Rangers","---",12819,12.503093977924436,0,2,-4,14,11,39,17,86,13.268511600792408,-1.4670875258743763,16.73529260419309,4.859612505417317,33.396327525377274,6.092161019147646,16.699999710544944,27,24,45.48705616407018
2013,"Yankees","---",13026,15.338421917520463,-4,2,-4,2,5,-7,15,24,3.2558762683765963,-2.178461061557755,5.342923316266024,8.725351060224057,15.14570387324784,2.313072059425932,25.59499994572252,,,42.74568395272961
2014,"Royals","---",13056,-9.216236968524754,4,4,-4,5,6,24,-5,27,9.86779223009944,-7.070493472274393,41.7957136958139,7.228693640165147,51.82172164297663,7.056152103939792,-13.109999971464276,,,42.69172828172243
2017,"Angels","---",12966,16.436980932485312,3,4,7,-4,3,28,-9,50,-0.42684853076934814,3.6867193542420864,15.433487887959927,10.593805378070101,29.287197779864073,4.244609195871395,24.745000144466758,9,6,42.58284538969753
2019,"Diamondbacks","---",13185,3.4256170401349664,-1,3,5,6,8,27,38,91,9.658245455473661,0.24295109882950783,7.897839993296657,3.181830335124687,20.980857689122786,4.743174383667754,5.1299999207258224,29,22,41.53710191767224
2012,"Rays","---",13137,17.378952838655096,-2,4,5,0,-3,21,10,52,0.642560139298439,4.692020549671724,15.895863609795924,-12.990093065622204,8.240323157515377,1.8403104327847548,28.37499993480742,,,40.61032911380652
2021,"Cardinals","---",12753,-5.543671994935721,3,3,-7,8,4,60,11,81,3.223997548222542,-6.624125442001969,21.62595009058714,12.822737066773698,31.048560726922005,4.030664592241822,-7.919999877922237,51,41,40.218136471613406
2011,"Giants","---",13212,29.65728416852653,1,6,1,1,-8,-1,1,29,0.8322144532576203,0.4778100047260523,1.7154693552292883,1.956462716587339,4.981941609061323,0.9180493504985233,28.155000092461705,,,39.151900509625875
2011,"Red Sox","---",13116,7.390184979885817,0,0,-2,-7,-8,38,-1,18,-3.4642877262085676,0.10519195813685656,42.10677084326744,5.256135211209767,44.003869757056236,5.345480143885892,-4.954999561421573,,,39.0438517559147
2024,"Blue Jays","---",12847,4.924066013598349,-3,5,6,8,8,51,26,102,0.6963870748877525,3.2929843962192535,19.402708190027624,4.722132651848369,28.11421506665647,3.847314927599372,4.13499990105629,24,22,38.62434391531387
2011,"Rays","---",13041,-16.265754023566842,0,1,4,6,12,38,10,65,1.2360929306596518,5.033162288367748,44.475717255845666,6.570227494612482,57.31524041108787,9.306059805152783,-20.605000128038228,,,37.7052850381861
2018,"Red Sox","---",13128,15.247034928994253,4,-2,-7,9,-3,-18,13,10,19.107553836889565,-0.2448817789554596,0.269181240350008,6.173290976439603,25.305155877955258,6.6979927255411615,22.764999977312982,-3,0,37.56362055601728
2013,"Orioles","---",13077,-2.3621170446276665,-12,3,7,5,6,7,10,26,5.869247190654278,4.964622862637043,14.88903013523668,11.168168302741833,36.89106899360195,6.645581648760974,-4.044999998994172,,,35.84102323356225
2010,"Twins","---",13074,-1.8547690212726593,3,3,-2,4,6,-23,0,-2,1.8888669479638338,-4.6171636786311865,16.43919339295826,14.413504903821377,28.12441336165648,3.572476688819575,4.2599999736994505,,,35.38441078239797
2024,"Royals","---",12853,2.109608945203945,1,5,2,1,4,24,-1,47,0.6523894069250673,0.40468800626695156,10.614734447342926,16.242333359768963,27.91414554079529,3.376014839592804,-1.9600000083446503,36,27,34.96871756033427
2019,"Astros","---",13161,-1.34644313598983,-2,-2,-3,-1,26,70,15,97,-0.8655416362453252,-5.523754687979817,17.19741205126047,4.093525409378344,14.9016613017302,1.6103702597566305,-0.23000007029622793,47,38,34.730880579846456
2016,"Astros","---",13212,9.863520856015384,0,3,7,20,5,19,17,77,20.434495978523046,-2.4969942532479763,-2.1401164970593527,-5.059250694484945,10.738113564235391,5.051455376958746,18.369999828748405,2,3,34.43228977671221
2013,"Giants","---",13026,9.146570965647697,4,0,-3,1,-8,10,-2,5,3.571787084918469,0.7468071775510907,16.039021960030368,-5.670691334154981,14.686955383629538,2.7405617539343776,19.67499994672835,,,34.36699460501286
2024,"Yankees","---",13074,18.23555291967932,0,2,-9,11,5,-20,29,31,15.503474943339825,-6.49510782212019,-21.936865829804447,13.0664783748216,0.1379804618190974,2.51304734852975,20.094999907538295,8,4,34.016759347976404
2012,"Red Sox","---",12987,12.416726854629815,-2,-3,6,1,4,49,7,64,-3.4170106258243322,7.904391555115581,12.199758569709957,13.902097870610305,30.58924249187112,3.6140711606935074,6.159999958239496,,,33.749258155879176
2022,"Astros","---",13008,-0.5520720146596432,0,0,5,5,8,15,44,67,8.159841135144234,0.4310834454372525,11.120987540576607,-5.4240514282137156,14.287860193289816,4.547377109097279,-2.87000001873821,32,27,33.368112350049316
2014,"Reds","---",13014,-7.4912270326167345,2,0,-1,4,11,28,18,65,5.6667834892869,-1.109300635755062,19.7275285506621,9.407246973365545,33.69224375090562,5.608566301529929,-0.7250000005587935,,,32.962226385335875
2024,"Tigers","---",13023,11.097552961669862,-3,1,-1,-9,9,13,33,50,-4.228488255175762,-0.6264209090732038,4.725739734851231,-7.153990741298912,-7.283159812854137,-1.784056878486095,15.359999998472631,22,18,32.73855179424551
2024,"Guardians","---",12852,18.990615991031518,-2,-3,6,11,10,15,28,89,9.592533020768315,4.978355649858713,3.240697129513137,5.526455720182639,23.33804261405021,5.513507705719909,16.054999913088977,10,5,32.72742222490406
2012,"Reds","---",13077,23.871066976338625,-1,3,-3,4,8,22,6,63,2.5848238859325647,-2.5291936099529266,4.826401747297496,5.024466827511787,9.906494978815317,1.5408951332948102,19.81000015605241,,,32.706519425853145
2017,"Red Sox","---",13341,30.660078979330137,-1,6,-2,5,15,21,6,79,0.6842799484729767,-5.231490448117256,32.11326791718602,0.08925655140774325,27.655298858880997,3.1157367780858944,12.280000182799995,6,8,32.695614110166105
2021,"Astros","---",13005,-4.724622960900888,-4,1,-2,1,5,57,16,76,0.47375405579805374,-1.3095221063122153,18.163207054411032,2.7343049053451978,20.06174670206383,2.766657383226349,0.7850000131875277,38,31,32.53944806626008
2022,"Diamondbacks","---",12870,-14.589380986988544,3,2,-5,5,0,29,33,56,1.5283771390095353,-2.1843649201327935,34.371004835455096,-2.043612378605758,31.671404029533733,4.176785667756492,-6.409999978728592,44,38,32.50291225724801
2018,"Braves","---",13110,1.1535960175096989,1,-1,1,1,-2,50,8,53,-3.951697964221239,-3.043682299554348,28.620142299681902,6.2560122105060145,27.880747344344854,2.576280431042971,1.4949998166412115,45,38,32.25918467352377
2014,"Angels","---",13344,13.016848156810738,-1,-2,3,-4,5,-5,-10,-9,-5.215969577431679,3.643076943582855,13.195493737817742,12.627157105627703,24.249754034332,2.7535334546767043,9.664999629370868,,,31.899763111732543
2024,"Brewers","---",13014,2.2322320841485634,6,-1,0,1,13,31,12,64,1.4414612632244825,3.176502864807844,18.25924416165799,-8.292748778010719,14.584458238445222,2.7649849730343687,2.1599999656900764,32,27,31.72287794959566
2013,"Diamondbacks","---",13455,5.673930955119431,-4,-1,-2,11,-5,61,-5,69,10.918470486067235,-1.0129185691475868,-2.178380445082439,16.051497007574653,23.778681425759714,4.839865650606635,8.634999893605709,,,31.418731706918596
2023,"Rangers","---",12927,3.9665430249879137,-1,4,3,7,-2,17,-3,35,9.171464199200273,3.712447911500931,-1.2129967708606273,15.003105173702352,26.674018515041098,5.1189079624035525,10.225000133737922,19,14,30.79873685689477
2013,"Rays","---",13176,16.348901899065822,0,-1,0,-3,6,20,1,30,-4.151314374059439,-2.9090027660131454,4.487089506350458,13.267151912907138,10.693928722292185,0.5030173446908857,21.055000339634717,,,30.743895835836987
2019,"Reds","---",12942,6.208090017316863,2,-3,5,7,5,10,16,41,-2.8379089795053005,1.7630937611684203,-0.84348953620065,0.4091452203283552,-1.5091648660600185,-0.5694457450035286,2.865000108256936,27,21,30.453005914806287
2021,"Giants","---",13095,1.08808301249519,-5,-2,-3,-3,3,1,34,32,-0.8014945993199944,-4.63617143407464,4.813246767618693,1.442444996420818,0.8180256645428017,-0.5435555136325302,5.475000065751374,27,22,30.161185550581614
2014,"Rays","---",13173,9.361962979659438,1,-1,-4,-4,-4,-16,1,-26,1.6922908574342728,-4.899019682779908,10.165672988514416,-0.08016659755958244,6.878801068873145,0.31992517777176444,24.159999947994947,,,30.038770976187063
2014,"Padres","---",12948,17.977213971316814,0,1,-10,-9,-6,50,4,42,-7.105032713152468,-9.02375663165003,14.200656108558178,-2.8257502110209316,-4.753885946702212,-2.984229953387477,33.35499969031662,,,29.596114574862415
2012,"Yankees","---",13008,23.251163901528344,-3,0,0,-10,5,-6,0,-2,-7.629642944782972,-2.2873772168532014,1.2790287407115102,8.810344264813466,0.17238683998584747,-1.7352411175983404,29.229999719187617,,,29.412353652842434
2015,"Royals","---",13068,-7.560938993468881,-2,3,-7,3,7,44,-14,35,4.21158014703542,-8.076444119215012,32.491621267050505,8.13630556636781,36.76303685735911,4.674649968817961,-10.745000121183693,,,29.022985733790705
2012,"Cubs","---",12723,-8.904952040873468,1,-3,0,-10,-9,20,5,-8,-5.697131956461817,-1.0378219783306122,34.00885681573709,1.980519834884035,29.25438177085016,2.8088992741247165,2.3149999836459756,,,28.574400411203158
2018,"Marlins","---",12978,0.7764330128848087,-4,3,-3,-8,-11,8,25,21,-4.464639320038259,0.41289925249293447,8.084826758909912,4.027608795011474,8.060701248259647,0.4354070614676345,5.325000021606684,25,16,28.10055497875318
2012,"Giants","---",13059,16.380235929973423,-1,3,-1,-2,-6,12,2,11,-0.4883014652878046,-1.8842188455164433,14.703339483588934,-5.909273328026757,6.421554401051253,0.6803445981870261,18.40000063367188,,,27.821548839246148
2021,"Rays","---",13101,13.5093471002765,2,2,4,0,-5,45,18,72,0.35008498141542077,1.9880269700661302,17.669827047735453,-5.6370411849347875,14.370895692612976,2.395381590014352,5.055000010877848,29,26,27.79656616212024
2012,"White Sox","---",13011,-2.4958159043453634,2,6,4,1,-9,1,0,7,-1.4285824680700898,5.611332749016583,1.3893440384417772,12.12704271414259,17.69913017190993,2.781968977655159,3.499999890103936,,,27.209111870030352
2015,"Giants","---",12999,7.65748503850773,1,-5,5,-3,5,18,-2,30,-5.173786900937557,3.7715291380882263,15.554261120967567,7.6790065676905215,21.83102041296661,2.0798456288626586,9.764999966137111,,,26.591002009225413
2019,"Red Sox","---",13239,9.555849101801869,0,1,-9,13,-4,-9,2,5,15.038948629051447,-5.893555694259703,-3.8307480216026306,5.504095121170394,10.818736467510462,3.269832311438062,14.089999773539603,4,3,26.309425520670338
2015,"Cubs","---",13152,12.650347155984491,0,2,-5,-3,0,3,8,6,6.765718238428235,-4.683647746220231,21.68952349916799,-11.145264129867428,12.626314525026828,2.981954659045286,10.959999814629555,,,25.586318807314264
2010,"Brewers","---",12951,28.57421703846194,-1,-4,3,-2,4,4,0,20,-6.271980557590723,2.143627632409334,-3.824754159199074,1.607708938245196,-6.345395803451538,-1.5077682553447822,35.924999623559415,,,25.57458078519788
2019,"Phillies","---",13083,0.57277696672827,-2,10,-5,5,-1,45,6,68,8.17269335128367,-8.082225475460291,14.100779129192233,6.905730131751625,21.09697262593545,3.4426624926538953,7.994999893009663,-3,-1,24.987025222629253
2023,"Pirates","---",12870,17.456025046623836,1,-1,-2,-13,-8,11,12,3,-7.853164479136467,-1.8798044733703136,1.4791319012792883,-13.429499459945873,-21.683335631503724,-5.009894981884789,25.904999518767,1,0,24.919629534789436
2016,"Giants","---",13143,10.372305040247738,1,2,1,-3,1,43,14,75,-5.14150245860219,2.095765747129917,18.183734874415677,11.29503978874709,26.433058596681803,2.459400495239833,25.504999712109566,13,8,24.74134274020466
2021,"Athletics","---",12897,5.331202995264903,2,3,-2,-10,-5,-10,5,-10,-5.4840255081653595,-2.688668627291918,-3.9288145918399096,14.06912581040524,1.9676174484193325,-0.981297001809994,9.014999885112047,20,15,24.22887435389087
2019,"Dodgers","---",13011,12.610205150209367,1,-1,4,7,4,46,39,106,5.923101547174156,-0.6291503952816129,10.42042677453719,-17.675247025414137,-1.9608721308177337,0.7967899707993893,11.309999917633832,4,3,23.915788147712252
2023,"Blue Jays","---",13065,9.061849030666053,3,-3,1,5,4,47,23,85,6.050062079913914,1.5822010142728686,17.036093852017075,4.949586465372704,29.61794296093285,4.907026279218381,11.955000004731119,10,11,23.772313601469335
2013,"Red Sox","---",13086,7.757428037934005,-1,-3,-2,6,5,15,8,22,-2.162452945485711,-2.6822660623583943,21.420221105217934,8.161351481685415,24.736863906495273,2.5912637792983,2.0200000451877713,,,23.7568686161612
2016,"Rockies","---",12864,-10.008504057303071,0,1,-1,-3,-6,15,19,11,2.4393127078656107,-4.728523392230272,-6.9082229755294975,2.2764486367123027,-6.920972882799106,-1.1133360900638618,2.8000000258907676,20,14,23.080128603648774
2016,"Indians","---",13005,-3.2856919838181966,2,3,-5,8,-3,11,22,41,4.521101443096995,1.512763800099492,17.29504102782812,-2.91575479489984,20.413184750825167,3.9057409687657674,7.500000026077032,15,9,23.002542458192032
