Season,Team,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR
2017,CLE,659,162,1440.2,10.082832874741067,2.536325989556923,1.0182786608319665,0.3034634414513469,0.77460062,0.440894568,0.129673826,93.22182644992483,3.304720316442394,,3.3270057427776027,3.408190051682735,30.353286079363897
2011,PHI,556,162,1477,7.915369287626063,2.4617468762131867,0.7312119434296593,0.2857823291259824,0.77479726,0.465216351,0.083160083,92.54633051,3.0223426995092586,,3.238656435948845,3.409800179030743,29.450330981519073
2018,HOU,672,162,1455,10.435052120278279,2.690721797463575,0.9402062372746285,0.28323537643436886,0.77881834,0.440282301,0.116296863,94.90482968,3.1113403772969614,,3.232596528197541,3.3581366954050162,28.632656495668925
2021,CHW,674,162,1403.1,10.184323838823103,3.1104515502702803,1.1672209941220433,0.2877637130801688,0.74350693,0.411637347,0.127629733,95.48424526930916,3.7261285581588304,,3.738680248,3.8455546451534475,27.947871955344453
2021,LAD,762,162,1452,9.911158177612352,3.0123970446026287,0.9979340003724757,0.2599615278922781,0.76541311,0.445278969,0.118382352,94.14829075606433,3.0309920880878303,,3.5433124027996024,3.7544229591461646,27.54686813056469
2022,HOU,642,162,1445.1,9.489853014256822,2.851937454415764,0.8344096482351799,0.26820652173913045,0.77235772,0.426871198,0.092990978,94.35576651718866,2.895526018129542,,3.284017728663477,3.5546904706978966,26.731109854765236
2013,DET,590,162,1462.2,8.786691471902214,2.842753123262481,0.7876025969212068,0.30574033013057406,0.73739521,0.453881723,0.091954022,93.93231392754448,3.6118962843183473,,3.266632874984013,3.429134328006239,26.264263763208874
2019,LAD,707,162,1445.2,9.456537328530464,2.4403967299433456,1.1517178444885685,0.2708611037056785,0.74714286,0.449064449,0.141113653,93.51446489643996,3.392898514844702,,3.726575795687605,3.8668909373158264,25.382223861292005
2022,LAD,725,162,1451.1,9.084750201,2.5238862332357694,0.9425815907907542,0.25544344131704727,0.78296703,0.425064599,0.098381877,93.18287445052962,2.796738798990988,,3.4514296439651457,3.665833007164931,25.166456813924015
2019,TBR,765,162,1474.1,9.895321073084999,2.765317980325419,1.1049063011896265,0.2898435428268364,0.73748044,0.441221765,0.133677991,94.15123561,3.674881731028482,,3.6548867597922663,3.885760468051632,24.54889437975362
2012,DET,582,162,1430.2,8.291239897654258,2.755358934121825,0.949906847,0.307128906,0.72663329,0.434166266,0.104643104,93.84644842363923,3.7681735194953725,,3.63056582,3.7393862377544096,24.466205207630992
2018,NYY,670,162,1456.1,10.097963543540024,3.0528726992097748,1.0938430521460125,0.30015881418740076,0.73922734,0.429410262,0.128727272,95.06905588832686,3.7759214963910375,,3.633537578869058,3.6129178201559173,24.46287340298295
2023,PHI,685,162,1442.1,9.072799417926984,2.9327480924523264,1.154379568305703,0.28969572999232934,0.71193936,0.4400592,0.125508819,94.16982042211048,4.030968654732346,,3.996200574823675,4.018414918135906,24.343890161719173
2014,WSN,620,162,1470.2,7.8821400647538695,2.154125235088014,0.6731641359650044,0.2941455321166153,0.749375,0.447655139,0.075136612,93.74586266421655,3.0292386118425196,,3.175089886398624,3.433097147675928,24.29368196055293
2019,HOU,654,162,1462.1,10.284249510333252,2.7572374510049653,1.4155460127927277,0.27045769764216365,0.76822157,0.435560231,0.167394468,94.58393795334021,3.6619559896159695,,3.9764895743862163,3.8008585283360725,24.198387583717704
2010,CHW,569,162,1446.1,7.149804780414729,3.0490899411690315,0.8462780244877312,0.30542210020590255,0.71539399,0.448933272,0.084210526,92.82903692620602,4.094492206712699,,3.7982849928982647,3.9395406726510234,23.98207308538258
2019,MIN,686,162,1463.1,8.997950322001925,2.779954576585694,1.2177677127521402,0.30893909626719057,0.71817,0.418173168,0.134237288,92.99043850855224,4.182232548845734,,4.025171246211257,4.27123869,23.657493494451046
2021,MIL,695,162,1436,10.140669123477819,3.3655990848625392,1.0529248533648168,0.27528559487322374,0.74732864,0.444986449,0.133016627,93.17662771144285,3.4972146915331415,,3.720173430772732,3.7510852472819427,23.584193171467632
2016,WSN,670,162,1459.2,9.100709009,2.885590661334728,0.9556977617668436,0.2878865979381443,0.75,0.433493792,0.109308885,93.81189437,3.520667238508824,,3.583646527651079,3.821250021871222,23.498771619051695
2024,ATL,643,162,1443.1,9.683834347434436,2.7997692350277283,0.9353349337509115,0.29989356040447046,0.74936869,0.453864047,0.111607142,94.48367441884288,3.485681519778397,,3.440151851498395,3.497061299511588,23.48072880622931
2017,NYY,639,162,1448.2,9.691671013,3.1311552503814113,1.192821047764347,0.28018041920933934,0.74534566,0.46195097,0.141906873,95.27656308142882,3.746203603134903,,3.8803732804460838,3.8187475909361015,23.37046999298036
2017,BOS,677,162,1482.1,9.592985175117445,2.823251966094691,1.1839443728784187,0.30269857433808556,0.75692308,0.410093091,0.126953125,93.75525624766809,3.7339784067703974,,3.7762590616950695,3.9093239360007663,23.18872020440176
2011,CHW,572,162,1460,7.520548497854328,2.706164582424631,0.9061644501513002,0.30336560627017056,0.71256177,0.441679981,0.093989769,92.60157597864952,4.099315369732072,,3.655523318388963,3.692363344135297,23.15545458579436
2017,WSN,649,162,1446.2,9.064286215,3.079493257533617,1.1758065165128355,0.28730281872252394,0.74383803,0.440362355,0.127616475,94.09768523834646,3.8820278640423775,,3.992662781778538,4.115297900604876,22.982948793913238
