Season,Team,TG,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR
2023,"BAL",162,2441,6123,183,807,780,114,0.08361914,0.223746529,0.16633303,0.304838305,0.254595086,0.320708312,0.420928116,0.32045680390289794,,105.43696868012616,16.13286334462464,56.02191111416371,-23.897513925097883,24.16390170215059
2019,"CLE",162,2321,6124,223,769,731,103,0.091933376,0.217504898,0.182672811,0.288815117,0.249585253,0.323307034,0.432258064,0.3189722110640699,,97.41334758277463,5.255167587369215,-15.295306699204026,41.72212774120271,24.105923432861825
2022,"MIL",162,2363,6122,219,725,703,96,0.094250245,0.239137536,0.173896991,0.278971095,0.234631714,0.315496645,0.408528705,0.3168525391607507,,103.53883439417015,1.6885516208512854,26.859520382154738,-7.891726898029447,24.101321506493218
2015,"PIT",162,2431,6285,140,697,661,98,0.073349244,0.210342084,0.136032677,0.314014251,0.259634167,0.323368691,0.395666844,0.31273229114248036,,97.18881497946072,3.5005223392508924,-17.451992962416373,49.5791278029792,24.017373181603755
2010,"TOR",162,2206,6072,257,755,732,58,0.077569169,0.191699604,0.20600546,0.269474196,0.248225659,0.312138728,0.454231119,0.3335041581497066,,105.28303445284145,-12.34063066355884,25.074922668605623,-5.223883530125022,23.986430611819628
2012,"TBR",162,2406,6105,175,697,665,134,0.093529893,0.216707616,0.154686921,0.283612379,0.23953316,0.316691382,0.394220081,0.3112480627293029,,99.98284920905968,-0.6899050395004451,-1.0056522850736673,24.122432485222816,23.979061294153798
2010,"DET",162,2274,6312,152,751,717,69,0.086501901,0.181717363,0.146730463,0.310832383,0.268474215,0.335193749,0.415204678,0.3297111961623515,,101.97874060142678,9.735575806349516,23.9063327293373,-13.767185391276143,23.84594879891341
2016,"TOR",162,2349,6233,221,759,728,54,0.101395796,0.218514359,0.177952181,0.288871951,0.247855448,0.329519819,0.425807629,0.3266412044091448,,104.17564224604266,-8.951783753931522,21.931405539582066,-1.1517215360654518,23.709771120581127
2019,"NYM",162,2445,6290,242,791,767,56,0.082034976,0.220031796,0.184921764,0.298881987,0.256934566,0.328329607,0.44185633,0.32513465356696625,,104.99474021047286,-9.023294997199628,32.21231811618199,11.186155891045928,23.70763284976319
2012,"WSN",162,2338,6221,194,731,688,105,0.076997267,0.212988265,0.166162066,0.308325266,0.261442564,0.322152001,0.42760463,0.3240498124424845,,101.21866093783157,-4.1344944084994495,4.662518731240613,32.3561310878722,23.703121995506237
2021,"ATL",161,2392,6056,239,790,762,59,0.090653896,0.239927344,0.191310833,0.287560581,0.24370688,0.319329126,0.435017713,0.32290754993743337,,99.06803293287237,2.1954868964094203,-5.360983993735768,37.9085173222702,23.63840901944006
2010,"SDP",162,2352,6148,132,665,630,124,0.087508132,0.192420299,0.12513802,0.289555822,0.246227456,0.317402768,0.371365476,0.3042012143484693,,91.94967202663521,9.259609307628125,-50.19017227302288,90.11266323458403,23.63607461539321
2011,"DET",162,2309,6231,169,787,750,49,0.083614187,0.18343765,0.156749955,0.318171269,0.276829049,0.339750849,0.433579004,0.3370968011679461,,108.8370357362697,-15.22919521597214,48.53371696607999,-30.29283040948212,23.608178449843702
2016,"CLE",161,2366,6155,185,777,733,134,0.086271324,0.202437043,0.167943107,0.303914417,0.261670313,0.329033311,0.42961342,0.32642409906093794,,99.86591869020894,15.191921866033226,13.494964289205909,8.850904684513807,23.59982864685801
2021,"OAK",162,2353,6104,199,743,698,88,0.089285714,0.221002621,0.167933271,0.278490759,0.237998146,0.31657631,0.405931417,0.3130806761773846,,102.49560999868231,0.8466772485990077,19.408492670520783,6.714729074854404,23.59218276979303
2015,"STL",162,2406,6139,137,647,619,69,0.082423847,0.206385404,0.141684902,0.303008248,0.252735229,0.321088881,0.394420131,0.31097357485081967,,96.9993306177189,0.8628835785202682,-21.24696914879995,53.78872584179044,23.582675667457817
2016,"SFG",162,2404,6271,130,715,675,79,0.091213522,0.176526869,0.139802336,0.298811156,0.258221024,0.329477911,0.39802336,0.3145859395559071,,95.88427328748742,-0.5596979772890336,-32.55986933030226,63.62422834672907,23.572409614051935
2016,"SEA",162,2371,6227,223,768,735,56,0.081259033,0.206841175,0.170875873,0.297349866,0.259000537,0.326346339,0.42987641,0.3252820517320446,,107.81764745719127,-9.741676960140467,48.442842579851394,-30.466251898556948,23.402329066921386
2019,"ARI",162,2418,6315,220,813,778,88,0.085510688,0.215360253,0.182496006,0.292939164,0.251908396,0.322934903,0.434404402,0.31918349976117505,,93.37309473676018,14.07599641662091,-41.663461979504234,80.91944482177496,23.382755970969406
2012,"CIN",162,2211,6115,172,669,636,87,0.078659035,0.207031888,0.159211247,0.295632973,0.251415008,0.315292949,0.410626255,0.3138489339478269,,93.23166564718836,13.474187542218715,-35.97736995644647,72.95504825515673,23.361038328553875
2011,"LAA",162,2187,6088,155,667,629,135,0.072601839,0.178383705,0.149102122,0.287871747,0.252856883,0.312520702,0.401959005,0.31333352540752274,,98.49433787553397,-3.782928451895714,-14.621776900624809,35.000624833628535,23.336811373151892
2012,"TEX",162,2236,6216,200,808,780,91,0.076898326,0.177445302,0.172987478,0.305529953,0.272987477,0.333603107,0.445974955,0.335825207142477,,106.2908619514883,-5.773999224416912,39.52366217958604,-27.33853633858924,23.225645104228896
2017,"WSN",162,2322,6214,215,819,796,108,0.087222401,0.213550048,0.18332433,0.311143984,0.265982351,0.332198995,0.449306681,0.33078119529628985,,98.85100704619401,10.241664179489362,0.7435449604149014,18.203569530916866,23.175860910449373
2019,"MIL",162,2514,6309,250,769,744,101,0.099698842,0.247741321,0.191808012,0.296256968,0.246481414,0.329087724,0.438289426,0.3238325017368704,,96.88763604292468,6.0998291222786065,-20.16829337272972,56.13056133734062,23.044251156873262
2024,"MIN",162,2451,6123,183,742,702,65,0.077249714,0.213294136,0.164663023,0.288784584,0.246265938,0.315169366,0.410928961,0.3158831531255264,,106.65189925803026,-11.199145203456283,35.404032436184465,-16.830626312686945,23.03929352222752
2022,"CLE",162,2338,6163,127,698,662,119,0.073016388,0.182054194,0.128823317,0.294198578,0.253688377,0.3160723,0.382511694,0.3056406451384617,,99.82942227217553,23.222136081538338,21.71343434458253,2.6722116377204657,23.03158062171101
2013,"CLE",162,2337,6165,171,745,711,117,0.091159772,0.2081103,0.155352242,0.299975411,0.254528819,0.326703619,0.409881061,0.32410922421847616,,104.02486225068954,11.545265389140695,39.31799124186226,-24.88357001915574,23.01381193248957
2010,"ATL",162,2376,6252,139,738,699,63,0.101407549,0.18234165,0.142595644,0.301493244,0.258282994,0.338994015,0.400878638,0.3274561433832544,,99.91330458084289,-2.091997410170734,-2.9355081479709915,33.5988064922858,23.005624691516445
2021,"SDP",162,2497,6119,180,729,695,110,0.095767282,0.216375224,0.158803864,0.286551197,0.242384843,0.321211123,0.401188707,0.31216189825742224,,98.60298026107195,2.6159059209749103,-8.419704604684583,32.23398005985655,22.974634927792415
2016,"LAD",162,2491,6164,189,725,680,45,0.085171966,0.21430889,0.159659296,0.293564356,0.249184487,0.319256481,0.408843783,0.3144882249367194,,97.16840027628403,-2.1134979460402974,-24.27614418650392,51.361780478968285,22.817514681718134
2010,"PHI",162,2277,6291,166,772,736,108,0.089016054,0.169130503,0.153377531,0.292444242,0.259989249,0.331999359,0.41336678,0.3265791035520486,,99.00639120312812,13.3005217644386,5.500965991419202,21.89273124979809,22.790216600903637
2010,"ARI",162,2271,6183,180,713,691,86,0.0952612,0.247290959,0.166088069,0.311695137,0.24958889,0.324649951,0.415676959,0.32503084593255616,,92.70402607642949,-8.312164290808141,-62.73928690117334,92.77779844217002,22.72202504117933
2024,"CHC",162,2364,6116,170,736,696,143,0.089274035,0.222694571,0.15089138,0.290632911,0.242234883,0.317153164,0.393126263,0.31075224525972817,,101.29893488600636,10.578105013817549,20.07794176118932,-5.153321139514446,22.593693659208206
2024,"TOR",162,2400,6060,156,671,640,72,0.084158415,0.203465346,0.147874307,0.282833251,0.241404805,0.313420486,0.389279112,0.30733825574771995,,101.41046882663683,-12.753440075553954,-2.9733754714025213,19.287924907170236,22.58868763590264
2023,"PHI",162,2323,6207,220,796,771,141,0.086837441,0.238601578,0.182097095,0.308346213,0.255730012,0.327087707,0.437827107,0.3294202545934026,,105.82880057510557,10.423190501518548,55.24396945742632,-40.19295524712652,22.538161246027926
2013,"PIT",162,2369,6135,161,634,603,94,0.076446617,0.216788916,0.150565075,0.294483101,0.245351804,0.313405797,0.395916879,0.3116262113547922,,99.29205275434201,1.8147833528928459,-3.417670797139217,27.416599705815315,22.507757576804494
2013,"CIN",162,2286,6293,155,698,664,67,0.092960432,0.197838868,0.14166212,0.293124246,0.249136206,0.327263938,0.390798326,0.3155403163898575,,95.65218690847247,-2.0260335304774344,-32.87689715132461,50.63407616131008,22.346934961603115
2017,"MIL",162,2423,6135,224,732,695,128,0.089160554,0.256071719,0.179806109,0.308004326,0.249314066,0.322172985,0.429120175,0.321109614251844,,93.65478278180737,4.9092395868574386,-46.00842863106849,59.28620532620698,22.34094543339135
2017,"SEA",162,2323,6166,200,750,714,89,0.078981511,0.205481673,0.164835165,0.300072833,0.258692127,0.325312957,0.423527292,0.32079858407865164,,102.63801820948285,-4.808503428997938,14.969332515282186,5.963369044358842,22.33669169766325
2022,"PHI",162,2327,6077,205,747,719,105,0.078657232,0.2242883,0.168850072,0.298841893,0.253275109,0.316639209,0.422125181,0.3216073669351693,,106.5941493937309,2.730783463535772,49.257764104845066,-45.86200733298028,22.30379554067703
2021,"WSN",162,2386,6113,182,724,686,56,0.093734663,0.213152298,0.159331476,0.306792164,0.257753017,0.336736374,0.417084493,0.32586774045159766,,102.00460273900988,-13.044744487837306,1.835453503459961,14.770469700917602,22.23162888756052
2013,"MIL",162,2335,6064,157,640,610,142,0.067117414,0.195085751,0.145232005,0.293595586,0.252283522,0.310506096,0.397515527,0.31116735062874973,,91.4869958986146,-6.880727119278163,-65.99062011127828,88.48265971802175,22.114595572968316
2017,"ARI",162,2360,6224,220,812,776,103,0.092866323,0.233933161,0.19040724,0.305727554,0.254298642,0.329398447,0.444705882,0.32923077882695273,,95.0551164890148,8.350339457392693,-31.979569606901308,39.91419987520203,22.114088513939397
2017,"CIN",162,2321,6213,219,753,715,120,0.090938355,0.213906325,0.179066375,0.294369029,0.253464624,0.328898263,0.432530999,0.3249784412628605,,94.7978608106359,2.3418663573029335,-39.71804769638714,47.22337047383189,22.03367335068694
2021,"CHW",162,2292,6084,190,796,757,57,0.096318211,0.228303747,0.165951092,0.309929263,0.256300168,0.336138613,0.42225126,0.3290527831227326,,107.74363612187211,0.5251726666465402,58.08192576761255,-46.98538430221379,22.016659971797015
2016,"PIT",162,2458,6261,153,729,696,110,0.089602299,0.213065005,0.144352219,0.311170862,0.257307831,0.332475884,0.40166005,0.3184332198414712,,97.49770169693919,-4.0902402231786255,-23.898371549531554,40.04004845675081,22.01378655329968
2021,"MIN",162,2356,6078,228,729,690,54,0.086377097,0.231161566,0.182102744,0.28203125,0.241392008,0.314106789,0.423494752,0.3175350101875522,,102.29889495028536,-5.718741049990058,11.207568390719931,-0.1915962059283629,21.987965526134897
2010,"TEX",162,2312,6302,162,787,740,123,0.081085369,0.156458267,0.14267968,0.306980841,0.276131322,0.338190552,0.418811002,0.3329743524033999,,98.49013454498335,4.497483046725392,-7.022253803429727,-0.8159764036536217,21.945456546483406
2015,"KCR",162,2263,6116,139,724,689,104,0.062622629,0.159090909,0.14367713,0.301108647,0.268520179,0.321769154,0.412197309,0.3179640986657907,,98.95791103831975,-0.2706691287457943,-8.28998630022067,13.801218140870333,21.797718220543747
2024,"CLE",161,2455,5927,185,708,670,148,0.078623249,0.201788425,0.157438795,0.271399798,0.237853107,0.307483914,0.395291902,0.3057943550683431,,100.20390307433917,-1.0601752810180187,0.25414344420702406,12.526805326342583,21.76496653449635
2014,"TOR",162,2397,6167,177,723,690,78,0.081401005,0.18663856,0.155163092,0.29523586,0.258605154,0.322570123,0.413768246,0.3250920957468456,,106.69936360909358,0.04677916597574949,44.905974899635076,-40.74714382365346,21.736109068098834
2021,"BOS",162,2353,6122,219,829,783,40,0.083632799,0.226396602,0.187989081,0.309003051,0.260964513,0.328477905,0.448953594,0.33277909194318755,,105.34026561444219,-5.410270758671686,34.30540000705998,-27.378240154124796,21.729137737113557
2012,"ARI",162,2213,6150,165,734,710,93,0.087642276,0.205853658,0.158916148,0.306918547,0.259245697,0.327911943,0.418161845,0.32323765450755493,,96.64158685324843,-5.590597068890929,-30.7145768887859,50.65187042020261,21.687170387117508
2014,"OAK",162,2358,6245,146,729,686,83,0.093835068,0.176781425,0.136519387,0.27846934,0.244183949,0.319620761,0.380703336,0.3115403267443132,,102.42133587860516,11.016468707239255,27.18018790802044,-26.281895224004984,21.64761395660263
2015,"TEX",162,2358,6187,172,751,707,101,0.081299498,0.199288831,0.155870078,0.299759615,0.257485029,0.325195312,0.413355107,0.32056212550058416,,97.70440317974402,21.600193639751524,4.78221571449528,-3.026706396602094,21.64533392926006
2016,"WSN",162,2302,6201,203,763,735,121,0.086437671,0.201902918,0.170309654,0.292825768,0.255555555,0.32553226,0.425865209,0.3216047236795975,,95.80994986895827,5.148770801111823,-27.25244350856144,41.30162638425827,21.60465166983559
2013,"LAA",162,2311,6260,164,733,696,82,0.083546325,0.195047923,0.150322119,0.307475978,0.264137437,0.328941025,0.414459556,0.32497566608709366,,109.07684471124286,-9.70080982055515,54.75480631423693,-56.76174324005842,21.569668214387065
2015,"ARI",162,2393,6276,154,720,680,132,0.078075207,0.20905035,0.149938043,0.316037735,0.264471587,0.323807994,0.41440963,0.31893387830282455,,95.1943723691198,12.533800325356424,-23.31332919205441,32.62840694561601,21.56654105521065
2016,"COL",162,2369,6236,204,845,805,66,0.079217447,0.213277742,0.18240114,0.325717063,0.275026718,0.336137172,0.457427858,0.3387094230715465,,94.18217250872179,-0.909892590418167,-46.98691068239633,58.39876269735396,21.44877207301556
2016,"BAL",162,2257,6089,253,744,710,19,0.076859911,0.217441287,0.187545257,0.29123776,0.255792903,0.317028985,0.44333816,0.325629450753762,,102.79992237920983,-6.698142671724781,13.418588206428652,-10.383770866319537,21.39638731523492
2024,"SEA",162,2383,6067,185,676,642,140,0.094115707,0.267842426,0.151782364,0.284186831,0.224202626,0.311022971,0.37598499,0.30334341547752586,,103.58378079370877,1.5497235134243965,26.416795525311446,-22.36278373375535,21.34659339961839
2012,"PHI",162,2294,6172,158,684,659,116,0.073558003,0.177252106,0.144480519,0.290002308,0.255050505,0.316557377,0.399531024,0.31138683554755914,,93.01317800746611,10.70767739834264,-40.761947196577715,56.326472712215036,21.299122096097875
2012,"SDP",162,2384,6112,121,651,610,155,0.088187172,0.202552356,0.132976761,0.2972907,0.246956842,0.319391634,0.379933603,0.3066082671321848,,96.99217766085864,13.828433932736516,-8.4014501561708,25.523912390694022,21.27115219488602
2019,"STL",162,2413,6167,210,764,714,116,0.090968055,0.230257823,0.169572398,0.291861067,0.245182602,0.322122448,0.414755,0.3141151186292183,,95.33094342463272,9.984841301571578,-28.175787678664875,49.21104355668649,21.15437240158019
2012,"CHW",162,2277,6111,211,748,726,109,0.075437735,0.196858124,0.16654585,0.28937198,0.255346139,0.318256578,0.421891989,0.32153214966014637,,98.47780343777343,-7.000711171422154,-18.190258150462135,11.163798194145784,20.841996003423535
2022,"SDP",162,2323,6175,153,705,682,49,0.092955465,0.214898785,0.140819313,0.288547347,0.240855888,0.31789371,0.381675201,0.30807694356580373,,101.6823923912034,-8.213518472388387,3.7302582111616953,-17.751487317495048,20.829005073764055
2022,"MIN",162,2422,6113,178,696,668,38,0.084737444,0.221331588,0.153214025,0.295164119,0.247626004,0.317273025,0.400840029,0.3149458462920727,,105.66639714787142,-12.836778928525746,26.142046592036444,-22.502544183284044,20.687229733179258
2015,"NYY",162,2401,6268,212,764,737,63,0.088385449,0.195756222,0.169929944,0.283357245,0.250943057,0.32285989,0.420873001,0.32296856492158393,,103.13816857254912,2.979821130633354,25.256808254795793,-35.300944313406944,20.673833666969248
2016,"NYM",162,2430,6115,218,671,649,42,0.084546197,0.212919051,0.170727239,0.28241206,0.24583257,0.316005922,0.416559809,0.31461675820601864,,98.8180089101763,-15.327713504448184,-24.4286122448541,31.79013398103416,20.641021007849975
2018,"LAA",162,2467,6108,214,721,690,89,0.084151931,0.212835625,0.17123538,0.277458093,0.241776315,0.313217448,0.413011695,0.31327135957310304,,97.76593161445174,4.006282792048296,-12.58133361168236,4.3581777065992355,20.604590315126217
2014,"TBR",162,2352,6205,117,612,586,63,0.084931506,0.181144238,0.120014504,0.287430683,0.246736765,0.317104836,0.366751269,0.3048740399154087,,96.97897725004692,0.9921214792411774,-19.906601077689864,12.510343387722969,20.599774139926645
2016,"MIA",161,2460,6133,128,655,626,71,0.072884395,0.197782488,0.131061835,0.313854853,0.263205336,0.322214919,0.394267171,0.3094896118726866,,94.50379960910752,2.446022511015144,-40.06155255093394,45.107723170891404,20.462779231888945
2012,"DET",162,2248,6119,163,726,698,59,0.083510377,0.180258212,0.15449233,0.30689574,0.267896274,0.334538878,0.422388604,0.32827026501028905,,104.71779506981235,-17.829080557450652,15.442695555779558,-27.373526552924886,20.35638990549188
2016,"DET",161,2295,6127,211,750,719,58,0.080463522,0.212665252,0.171009772,0.312345679,0.267100977,0.330932896,0.438110749,0.32992442233188246,,106.01200469298831,-15.588958327887667,28.387620797138794,-38.66388331120834,20.166694611013106
2024,"BOS",162,2416,6192,194,751,724,144,0.079618863,0.253552971,0.170880402,0.314041007,0.251748251,0.318615558,0.422628653,0.32070578443661135,,103.68800370320909,4.7077572755515575,30.660817595445273,-42.288563566224184,20.158200189276535
2017,"NYM",162,2396,6169,224,735,713,58,0.085751337,0.209272167,0.184029038,0.286458333,0.250272232,0.320397847,0.43430127,0.32168675913688827,,100.53948041813008,-12.40416967112833,-8.339469520953983,-1.505234757438302,20.15613522342482
2018,"ARI",162,2409,6157,176,693,658,79,0.090953386,0.237128471,0.162454213,0.286120444,0.234981684,0.309792381,0.397435897,0.30587244831678645,,88.33135299132043,5.907803195819724,-82.17116497062145,89.43760116398335,20.15513539874857
2013,"ARI",162,2349,6334,130,685,647,62,0.081938743,0.18029681,0.132840028,0.300876995,0.25863284,0.323196943,0.391472868,0.31355388031533976,,92.89059377146442,-18.528543641790748,-69.37218146289169,64.75899409502745,20.065265947719684
2024,"KCR",162,2409,5982,170,735,711,134,0.071715145,0.194082246,0.155690832,0.283059845,0.247740269,0.306245802,0.403431101,0.30734678078348643,,95.60225993146756,8.876391818746924,-21.342952867672697,15.414534414187074,20.02242614159195
2010,"OAK",162,2255,6117,109,663,619,156,0.086153343,0.173451038,0.121696035,0.297297297,0.256240822,0.324386629,0.377936857,0.31294273665897204,,94.71732982666222,17.77561780018732,-20.58158523420117,0.11038699001073837,19.96724145327488
2014,"MIL",162,2327,6065,150,650,617,102,0.069744435,0.197361912,0.147015745,0.292870905,0.250091541,0.31059216,0.397107286,0.3125311894623121,,93.5417438176323,-12.122515229741111,-56.175426125372965,53.801004032604396,19.887252608986838
2012,"BOS",162,2317,6166,165,734,695,97,0.069412909,0.194129095,0.154532476,0.30114033,0.26034975,0.315068493,0.414882226,0.31618076855778987,,94.60592451448696,2.637807656545192,-37.076010627467156,18.079121706075966,19.782004127787012
2023,"ARI",162,2406,6124,166,746,706,166,0.088177661,0.203625081,0.158204562,0.292904493,0.25,0.321663379,0.408204562,0.3169703767520679,,96.365097097447,18.926587829366326,-8.670329297350733,-1.5358692836016417,19.738264164914586
2021,"NYM",162,2419,5856,176,636,604,54,0.084528688,0.237704918,0.152015355,0.291132332,0.238579654,0.314668498,0.390595009,0.3069068735193256,,94.47453038044232,-11.765253718538588,-53.14106274814188,53.282783382572234,19.716029809925935
2011,"KCR",162,2134,6267,129,730,705,153,0.070528163,0.160523376,0.139985896,0.311493252,0.27503526,0.328663446,0.415021156,0.3248809267245215,,100.58376812456615,0.6705723681952804,4.512706835183057,-25.154116712510586,19.620466385332275
2017,"TBR",162,2345,6147,228,694,671,88,0.088661135,0.250203351,0.177802118,0.29574468,0.244614822,0.31668299,0.42241694,0.31557260671116616,,98.68401630341593,8.831059076357633,-1.2769369488791948,-4.55735057592392,19.610258230281755
2015,"TBR",162,2479,6071,167,644,612,87,0.071816834,0.215779937,0.153691886,0.299876695,0.252142206,0.314441506,0.405834092,0.3130784814037494,,99.63577460882611,-13.397518137469888,-16.243264229422927,2.5033325450494885,19.59827854188535
2013,"TEX",163,2321,6196,176,730,691,149,0.074564234,0.172207876,0.14968666,0.294023722,0.262309758,0.323252032,0.411996418,0.3227242438681059,,96.57828723307637,2.0019548437558115,-22.497480572038995,4.249952491372824,19.59383805456071
2011,"LAD",161,2304,6094,117,644,613,126,0.081719724,0.178372169,0.118469463,0.298947368,0.256622516,0.321819993,0.375091979,0.3066722965544451,,95.0695724703481,10.208086825208738,-24.630532181688324,22.558076901361346,19.512421217158685
2022,"BAL",162,2359,6049,171,674,639,95,0.078690692,0.229790047,0.154356235,0.283814881,0.235955056,0.305090366,0.390311291,0.30524886833475073,,100.74984114006551,3.9445647043175995,8.982474967938094,-14.669550958555192,19.495388903544082
2012,"OAK",162,2247,6183,195,713,676,122,0.088953582,0.224324761,0.165731862,0.281477758,0.237922923,0.310266406,0.403654785,0.3110200761581335,,97.40864219113462,19.430652332957834,0.25878929681285,-23.501964546740055,19.397128084189944
2018,"SEA",162,2373,6087,176,677,644,79,0.070642352,0.200591424,0.153818248,0.294924224,0.254307999,0.314172447,0.408126247,0.31264200700480593,,99.85665781339685,4.547869913090835,3.280359168054745,-22.87643665354699,19.360117730796034
2022,"ARI",162,2407,6027,173,702,658,104,0.088103534,0.222498755,0.154924314,0.272446616,0.230237338,0.304238985,0.385161652,0.30276103470787313,,92.55093257833848,16.796065123635344,-35.46577224305604,12.518343050964177,19.357280437849354
2024,"DET",162,2387,6021,162,682,656,76,0.079056635,0.242650722,0.151414921,0.287823834,0.233921352,0.299617368,0.385336273,0.29889264119070835,,95.27712854770485,5.139320316608064,-27.397893378130938,12.429910737788305,19.223369611629685
2015,"CLE",161,2285,6109,141,669,640,86,0.087248322,0.189392699,0.144144144,0.299212598,0.25648097,0.324533905,0.400625114,0.31540547769936395,,96.69957104587176,8.0584154445678,-15.619193966335544,-4.516507766209543,19.051216443457655
2013,"KCR",162,2236,6093,112,648,620,153,0.069259806,0.172000656,0.118579924,0.30038366,0.260046855,0.314946325,0.378626779,0.304888556927606,,89.10037608591227,18.19385035103187,-57.42623042597101,36.96913793031126,18.996861247586683
2018,"PIT",161,2293,6066,157,692,665,70,0.078140454,0.202604681,0.153662566,0.297592997,0.253534055,0.317307692,0.407196621,0.3122635693362366,,94.87276257458588,-1.4670081378426403,-39.93679967764104,37.43165260972455,18.86241883541461
2011,"PHI",162,2203,6279,153,713,693,96,0.085841694,0.163083293,0.142140168,0.282882882,0.252554221,0.322601416,0.394694389,0.3151705396252793,,95.53103822318062,3.478095439495519,-29.526669225013244,15.068717697635293,18.801293717384418
2021,"CLE",162,2300,5907,203,717,686,109,0.076688674,0.234806162,0.168979745,0.282159872,0.237996999,0.303483432,0.406976744,0.30621707110261115,,95.40001294838316,15.534715394445811,-17.902572561908258,2.0721948286518455,18.708402408052788
2022,"TBR",162,2403,6008,139,666,634,95,0.08322237,0.232190412,0.138026607,0.295471987,0.2390983,0.3085,0.377124907,0.3022049437963805,,100.02654314123262,2.8771600945910905,3.0566126243779905,-15.372996642952785,18.66314903444469
2014,"KCR",162,2273,6058,95,651,604,153,0.062726972,0.162594915,0.113435528,0.30164007,0.262578899,0.31352697,0.376014427,0.305630360794687,,92.16519775751603,4.832334698410705,-47.779567514799204,26.573487265966833,18.57775774546824
2021,"CHC",162,2475,5972,210,705,672,86,0.084058941,0.267247153,0.17093856,0.296033994,0.236524689,0.311804384,0.407463249,0.31141164491125395,,93.68607888276908,-2.6793878767839487,-51.01296609119325,35.83150274399668,18.56976106589193
2023,"NYM",162,2374,6056,215,717,692,118,0.086690885,0.219782034,0.169308223,0.275226977,0.237926533,0.316260566,0.407234756,0.31499039440881926,,100.15693777364444,0.8921003728173673,2.069521465669853,-22.013031089678407,18.53681223727495
2022,"BOS",162,2379,6144,155,735,704,52,0.077799479,0.223470052,0.151832461,0.313223344,0.25762773,0.321044045,0.409460191,0.31860236679842024,,101.95975994486152,-3.1587705789133906,9.585671965607037,-27.83255094103515,18.492209667442637
2023,"MIL",162,2358,6084,165,728,696,129,0.097140039,0.232084155,0.145562569,0.292359667,0.23950984,0.319229502,0.385072409,0.30868029389804025,,92.11399310890278,6.068038680765312,-53.37004725031794,32.01392064103857,18.490849669405385
2023,"STL",162,2298,6204,209,719,697,101,0.091876208,0.213733075,0.166061706,0.290877367,0.249727767,0.325844512,0.415789473,0.32220911003009234,,103.05686467911671,-7.110398066230118,16.046255058544926,-41.83180212602019,18.455873507933916
2024,"ATL",162,2283,6075,213,704,674,69,0.07983539,0.240493827,0.171866448,0.291211648,0.243203794,0.309417779,0.415070242,0.31475247689925984,,100.33172493625491,-10.230094418278895,-7.889184864762178,-16.345902748405933,18.408238924670016
2021,"PHI",162,2394,6089,198,734,700,77,0.092626046,0.230251272,0.168468133,0.286164347,0.240029817,0.317715231,0.40849795,0.3131597758272817,,93.5572723094179,6.540695283096284,-43.96098403818078,22.997778552322416,18.383627734196335
2021,"NYY",162,2354,6060,222,711,666,63,0.102475247,0.244554455,0.169386606,0.285167986,0.237478897,0.322367333,0.406865503,0.3171555232685661,,102.73024101643941,-3.81075565260835,16.219574022763652,-41.63507354352623,18.27294242894671
2022,"CHC",162,2388,6072,159,657,620,111,0.083498023,0.238471673,0.148202765,0.29423975,0.238341013,0.311302048,0.386543778,0.30694488518438723,,99.6454096940536,8.159061483107507,5.645686959432808,-40.470837839413434,18.272681601106996
2018,"STL",162,2464,6200,205,759,725,63,0.084677419,0.222580645,0.160240087,0.293865185,0.248999636,0.320923427,0.409239723,0.3157614834900477,,99.35458909311679,-10.737821703776717,-15.719216240370162,2.5825553595786914,18.190391398805975
2013,"SDP",162,2359,6122,146,618,578,118,0.07628226,0.213819013,0.133405837,0.293701171,0.244516947,0.307742998,0.377922784,0.30213264956512237,,93.6454002040074,8.816417020745575,-35.41790444971966,19.576691441237926,18.164998978479783
2019,"PHI",162,2431,6261,215,774,742,78,0.089762018,0.232071554,0.180936995,0.293116586,0.245736851,0.31940874,0.426673846,0.3144088300161808,,90.40900253229152,9.107900880742818,-70.36020147557687,57.238775890902616,18.12811313223833
2014,"NYM",162,2294,6145,125,629,602,101,0.083970707,0.205695687,0.125730994,0.286164283,0.23866959,0.308248439,0.364400584,0.29901502872641555,,92.00963190269425,-0.3551867187488824,-56.02845115994035,35.051149260252714,18.112490977338645
2011,"ATL",162,2322,6169,173,641,606,77,0.081698816,0.204247041,0.143813314,0.284121212,0.243306801,0.30821018,0.387120115,0.305615326232216,,90.83514036314104,-4.817113325698301,-70.4886101416235,52.37110872939229,18.058020347759836
2021,"CIN",162,2472,6162,222,786,756,36,0.089743589,0.231256085,0.182002582,0.295734101,0.2493085,0.328109696,0.431311082,0.32729430677342386,,98.21922964899363,-16.601141795981675,-30.89117064458665,4.159208812518045,18.050763765853343
2014,"STL",162,2324,6086,105,619,585,57,0.077390732,0.186164968,0.116476226,0.299503193,0.252672318,0.320159415,0.369148544,0.3075638111627297,,95.12090550791591,-15.517776781925932,-48.996149240547766,29.021728664796683,18.026499589703207
2011,"SFG",162,2370,6091,121,570,534,85,0.073551141,0.184206205,0.126321546,0.281381241,0.241888443,0.303035329,0.368209989,0.2953159151887144,,88.4426576538292,-6.505477770464495,-87.88856119349147,71.67396818846464,18.006754940038345
