Season,Team,TG,W,L,SV
2018,STL,162,88,74,43
2012,NYM,162,74,88,36
2017,PHI,162,66,96,33
2012,MIL,162,83,79,44
2014,MIN,162,70,92,38
2011,BOS,162,90,72,36
2023,TEX,162,90,72,30
2011,ATL,162,89,73,52
2014,TOR,162,83,79,45
2019,TEX,162,78,84,33
2016,SFG,162,87,75,43
2023,DET,162,78,84,41
2018,CHC,163,95,68,46
2018,SFG,162,73,89,36
2014,TBR,162,77,85,37
2010,NYM,162,79,83,36
2024,NYM,162,89,73,39
2021,SEA,162,90,72,51
2023,STL,162,71,91,36
2022,STL,162,93,69,37
2016,PHI,162,71,91,43
2024,CHC,162,83,79,38
2015,KCR,162,95,67,56
2010,CHC,162,75,87,40
2024,CLE,161,92,69,53
2012,PIT,162,79,83,45
2023,BOS,162,78,84,43
2013,PHI,162,73,89,32
2015,TOR,162,93,69,34
2017,KCR,162,80,82,39
2010,OAK,162,81,81,38
2016,OAK,162,69,93,42
2011,COL,162,73,89,41
2021,COL,161,74,87,33
2014,SEA,162,87,75,51
2010,LAA,162,80,82,39
2012,MIA,162,69,93,38
2018,OAK,162,97,65,44
2019,CHW,161,72,89,33
2021,KCR,162,74,88,37
2024,MIL,162,93,69,53
2016,COL,162,75,87,37
2015,OAK,162,68,94,28
2023,ARI,162,84,78,44
2021,STL,162,90,72,50
2022,SEA,162,90,72,40
2014,BAL,162,96,66,53
2019,ARI,162,85,77,45
2014,CIN,162,76,86,44
2010,CIN,162,91,71,43
2024,TBR,162,80,82,51
2014,NYM,162,79,83,42
2021,SDP,162,79,83,43
2012,CLE,162,68,94,43
2016,TEX,162,95,67,56
2019,MIL,162,89,73,50
2019,ATL,162,97,65,44
2024,ARI,162,89,73,38
2018,SDP,162,66,96,36
2015,MIA,162,71,91,35
2014,SDP,162,77,85,41
2024,SFG,162,80,82,36
2018,LAA,162,80,82,35
2015,LAA,162,85,77,46
2016,KCR,162,81,81,41
2011,STL,162,90,72,47
2018,ARI,162,82,80,39
2011,NYM,162,77,85,43
2022,COL,162,68,94,43
2023,PIT,162,76,86,47
2015,BOS,162,78,84,40
2011,ARI,162,94,68,58
2022,BAL,162,83,79,46
2024,TEX,162,78,84,38
2015,DET,161,74,87,35
2011,WSN,161,80,81,49
2022,MIN,162,78,84,28
2017,DET,162,64,98,32
2013,MIN,162,66,96,40
2012,ATL,162,94,68,47
2010,STL,162,86,76,32
2017,SFG,162,64,98,32
2018,MIN,162,78,84,37
2023,LAA,162,73,89,43
2013,CHC,162,66,96,39
2024,OAK,162,69,93,35
2020,CLE,60,35,25,20
2017,TEX,162,78,84,29
2013,BAL,162,85,77,57
2016,MIL,162,73,89,46
2015,TEX,162,88,74,45
2017,LAA,162,80,82,43
2011,CHC,162,71,91,40
2023,NYM,162,75,87,34
2012,SFG,162,94,68,53
2014,MIL,162,82,80,45
2018,TEX,162,67,95,42
2015,CIN,162,64,98,35
2014,CHW,162,73,89,36
2016,MIN,162,59,103,26
2022,CIN,162,62,100,31
2011,TOR,162,81,81,33
2011,KCR,162,71,91,37
2015,ARI,162,79,83,44
2016,TBR,162,68,94,42
2014,BOS,162,71,91,36
2010,WSN,162,69,93,37
2012,LAA,162,89,73,38
2019,DET,161,47,114,31
2015,PHI,162,63,99,35
2022,BOS,162,78,84,39
2016,ARI,162,69,93,31
2013,LAA,162,78,84,41
2020,CIN,60,31,29,9
2018,DET,162,64,98,37
2015,MIL,162,68,94,40
2014,HOU,162,70,92,31
2018,CHW,162,62,100,34
2024,CHW,162,41,121,21
2010,BAL,162,66,96,35
2015,SDP,162,74,88,41
2010,CLE,162,69,93,34
2021,CLE,162,80,82,39
2017,OAK,162,75,87,35
2022,DET,162,66,96,38
2013,TOR,162,74,88,39
2014,SFG,162,88,74,46
2020,MIN,60,36,24,17
2023,CHW,162,61,101,28
2010,KCR,162,67,95,44
2017,SEA,162,78,84,39
2021,DET,162,77,85,42
2014,TEX,162,67,95,33
2012,HOU,162,55,107,31
2022,TEX,162,68,94,37
2012,COL,162,64,98,36
2020,MIL,60,29,31,14
2015,SEA,162,76,86,45
2022,PIT,162,62,100,33
2016,ATL,161,68,93,39
2016,PIT,162,78,83,51
2017,ATL,162,72,90,36
2020,LAD,60,43,17,15
2017,MIN,162,85,77,42
2019,TOR,162,67,95,33
2015,SFG,162,84,78,41
2018,CIN,162,67,95,38
2017,NYM,162,70,92,34
2019,PIT,162,69,93,31
2016,SDP,162,68,94,35
2017,BAL,162,75,87,35
2024,MIA,162,62,100,33
2011,PIT,162,72,90,43
2019,PHI,162,81,81,36
2018,TOR,162,73,89,39
2013,ARI,162,81,81,38
2013,SDP,162,76,86,40
2022,KCR,162,65,97,33
2020,SDP,60,37,23,13
2019,SFG,162,77,85,41
2015,COL,162,68,94,36
2014,PIT,162,88,74,48
2014,ARI,162,64,98,35
2024,TOR,162,74,88,36
2023,KCR,162,56,106,28
2016,LAA,162,74,88,29
2017,SDP,162,71,91,45
2019,KCR,162,59,103,37
2022,CHC,162,74,88,44
2012,SDP,162,76,86,43
2021,BAL,162,52,110,26
2011,MIN,162,63,99,32
2019,LAA,162,72,90,32
2020,OAK,60,36,24,17
2010,MIL,162,77,85,35
2014,COL,162,66,96,24
2013,SFG,162,76,86,41
2018,BAL,162,47,115,28
2020,TBR,60,40,20,23
2015,ATL,162,67,95,44
2019,BAL,162,54,108,27
2012,TOR,162,73,89,29
2021,MIN,162,73,89,42
2024,LAA,162,63,99,35
2022,ARI,162,74,88,33
2018,KCR,162,58,104,33
2020,CHW,60,35,25,13
2020,BAL,60,25,35,11
2020,CHC,60,34,26,16
2012,BOS,162,69,93,35
2010,PIT,162,57,105,31
2021,WSN,162,65,97,36
2020,HOU,60,29,31,16
2011,CIN,162,79,83,39
2019,COL,162,71,91,28
2012,MIN,162,66,96,35
2020,PHI,60,28,32,11
2019,MIA,162,57,105,27
2021,TEX,162,60,102,31
2020,NYY,60,33,27,14
2011,HOU,162,56,106,25
2017,MIA,162,77,85,34
2019,SEA,162,68,94,34
2020,LAA,60,26,34,12
2023,COL,162,59,103,32
2017,CIN,162,68,94,33
2013,MIL,162,74,88,40
2021,PIT,162,61,101,25
2020,NYM,60,26,34,11
2023,WSN,162,71,91,42
2011,BAL,162,69,93,32
2012,CHC,162,61,101,28
2017,CHW,162,67,95,25
2020,KCR,60,26,34,19
2020,ATL,60,35,25,13
2021,CHC,162,71,91,40
2020,TOR,60,32,28,17
2020,SFG,60,29,31,13
2024,COL,162,61,101,37
2020,STL,58,30,28,13
2025,NYM,18,11,7,5
2020,COL,60,26,34,16
2022,OAK,162,60,102,34
2020,SEA,60,27,33,15
2025,SDP,19,15,4,9
2020,TEX,60,22,38,10
2025,BOS,20,10,10,7
2020,WSN,60,26,34,12
2020,PIT,60,19,41,6
2025,CIN,18,9,9,5
2025,PIT,19,7,12,3
2010,ARI,162,65,97,35
2025,TEX,18,11,7,7
2025,PHI,18,10,8,5
2025,STL,18,9,9,5
2025,HOU,18,8,10,5
2020,MIA,60,31,29,18
2018,MIA,161,63,98,30
2021,ARI,162,52,110,22
2025,LAD,20,14,6,9
2025,KCR,19,8,11,6
2013,HOU,162,51,111,32
2025,TOR,19,11,8,6
2025,SFG,18,13,5,6
2025,MIN,19,7,12,1
2025,SEA,18,9,9,7
2025,NYY,18,11,7,6
2025,BAL,17,7,10,1
2025,DET,18,10,8,4
2020,ARI,60,25,35,13
2025,ARI,18,11,7,5
2023,OAK,162,50,112,29
2025,CHC,21,12,9,6
2025,WSN,18,7,11,6
2016,CIN,162,68,94,28
2025,CHW,17,4,13,0
2020,DET,58,23,35,11
2025,TBR,18,8,10,3
2025,CLE,17,9,8,3
2025,ATH,18,8,10,6
2025,MIL,19,10,9,2
2020,BOS,60,24,36,14
2025,LAA,17,9,8,6
2025,MIA,17,8,9,2
2022,WSN,162,55,107,28
2025,ATL,18,5,13,2
2025,COL,18,3,15,2
